speaker, data, score
MR. MEYER,19970702,0.5
MR. KELLEY,19970702,0
MR. SIMPSON,19970702,0
II. CHAIRMAN GREENSPAN,19970702,0
I? MR. BERNARD,19970702,0
MR. BERNARD,19970702,0
CHAIRMAN GREENSPAN,19970819,0
VICE CHAIRMAN MCDONOUGH,19970819,-0.5
SPEAKER(?),19970819,0
MR. FISHER,19970819,0
MR. TRUMAN,19970819,0
MS. MINEHAN,19970819,0
MR. PARRY,19970819,-0.5
MR. MCTEER,19970819,0
MR. MELZER,19970819,0.5
MS. PHILLIPS,19970819,0.5
MR. KOHN,19970819,0
MR. PRELL,19970819,0
MS. RIVLIN,19970819,0
MR. STERN,19970819,0
MR. MOSKOW,19970819,0.5
MR. HOENIG,19970819,0
MR. GUYNN,19970819,0.5
MR. BROADDUS,19970819,0.5
MR. BOEHNE,19970819,0
MR. KELLEY,19970819,0
MR. MEYER,19970819,0.5
MR. JORDAN,19970819,-0.5
MR. BERNARD,19970819,0
CPI. MR. KOHN,19970819,0
I. CHAIRMAN GREENSPAN,19970819,0
CHAIRMAN GREENSPAN,19970930,0.5
VICE CHAIRMAN MCDONOUGH,19970930,0.5
MR. FISHER,19970930,0
MR. BROADDUS,19970930,0.5
MR. PRELL,19970930,0.5
MR. MOSKOW,19970930,0.5
MR. PARRY,19970930,0.5
MR. JORDAN,19970930,0.5
MR. GUYNN,19970930,0
CHAIRMAN CHAIRMAN,19970930,0
MS. MINEHAN,19970930,0.5
MR. MCTEER,19970930,0.5
MR. HOENIG,19970930,0.5
MR. BOEHNE,19970930,0
MR. MELZER,19970930,0.5
MR. STERN,19970930,0.5
MS. RIVLIN,19970930,-0.5
MR. MEYER,19970930,0.5
MS. PHILLIPS,19970930,0.5
MR. KELLEY,19970930,0.5
MR. KOHN,19970930,0.5
MR. BERNARD,19970930,0
CHAIRMAN GREENSPAN,19971112,0
MR. MELZER,19971112,0.5
VICE CHAIRMAN MCDONOUGH,19971112,0
MR. FISHER,19971112,0
MR. TRUMAN,19971112,0
MS. MINEHAN,19971112,-0.5
MS. RIVLIN,19971112,-0.5
MR. BROADDUS,19971112,0.5
MR. KOHN,19971112,0.5
MR. STERN,19971112,0.5
MR. PARRY,19971112,0.5
SPEAKER(?),19971112,0
SEVERAL,19971112,0
MR. PRELL,19971112,0.5
MR. STOCKTON,19971112,0
MR. HOENIG,19971112,0.5
MR. MOSKOW,19971112,0.5
MR. GUYNN,19971112,-0.5
MR. MCTEER,19971112,-0.5
MR. JORDAN,19971112,0.5
MR. BOEHNE,19971112,0.5
MR. MEYER,19971112,0.5
MS. PHILLIPS,19971112,-0.5
MR. KELLEY,19971112,0.5
MR. FERGUSON,19971112,0.5
MR. GRAMLICH,19971112,0.5
I. CHAIRMAN GREENSPAN,19971112,0
MR. BERNARD,19971112,0
CHAIRMAN GREENSPAN,19971216,0
MR. RIVES,19971216,0.5
MR. SIEGMAN,19971216,0
VICE CHAIRMAN MCDONOUGH,19971216,0
MR. FISHER,19971216,0
MR. TRUMAN,19971216,0
SPEAKER(?),19971216,0
MR. PARRY,19971216,0
MR. PRELL,19971216,-0.5
MR. BROADDUS,19971216,0.5
MR. MOSKOW,19971216,0.5
MR. BOEHNE,19971216,0
MR. GUYNN,19971216,0
MR. MCTEER,19971216,0
MS. MINEHAN,19971216,0.5
MR. STERN,19971216,0.5
MR. HOENIG,19971216,-0.5
MS. RIVLIN,19971216,0
MS. PHILLIPS,19971216,0
MR. FERGUSON,19971216,0
MR. MEYER,19971216,0.5
MR. KELLEY,19971216,0
MR. JORDAN,19971216,0
MR. GRAMLICH,19971216,-0.5
MR. KOHN,19971216,0
MR. BERNARD,19971216,0
CHAIRMAN GREENSPAN,19980204,0
MS. RIVLIN,19980204,-0.5
MS. PHILLIPS,19980204,0.5
MR. MCDONOUGH,19980204,0
SEVERAL,19980204,0
MR. KELLEY,19980204,0
MR. BERNARD,19980204,0
MS. MINEHAN,19980204,-0.5
VICE CHAIRMAN MCDONOUGH,19980204,0
SPEAKER(?),19980204,0
MR. FISHER,19980204,0
MR. TRUMAN,19980204,0
MR. JORDAN,19980204,0.5
MR. MCTEER,19980204,-0.5
MR. BROADDUS,19980204,0.5
MR. PARRY,19980204,0.5
MR. PRELL,19980204,0
MS. JOHNSON,19980204,0
MR. KOHN,19980204,0
MR. STOCKTON,19980204,0
U.S. GDP,19980204,0
GDP. MS. JOHNSON,19980204,0
GDP. MS. MINEHAN,19980204,0
MR. STERN,19980204,-0.5
MR. BOEHNE,19980204,0
MR. GUYNN,19980204,0
MR. MOSKOW,19980204,0
MR. HOENIG,19980204,0.5
MR. GRAMLICH,19980204,0
MR. FERGUSON,19980204,0
MR. MEYER,19980204,0.5
MR. RIVES,19980204,0
MR. LINDSEY,19980204,0
III. CHAIRMAN GREENSPAN,19980204,0
I. CHAIRMAN GREENSPAN,19980204,0
CHAIRMAN GREENSPAN,19980331,0.5
MR. POOLE,19980331,0.5
VICE CHAIRMAN MCDONOUGH,19980331,0.5
MS. MINEHAN,19980331,0.5
MR. FISHER,19980331,0
MR. KOHN,19980331,0.5
MR. JORDAN,19980331,0.5
MR. PRELL,19980331,0
MR. PROMISEL,19980331,0
MR. TRUMAN,19980331,0
MR. PARRY,19980331,0.5
MR. MOSKOW,19980331,0.5
MR. STOCKTON,19980331,0
GDP? MR. PRELL,19980331,0
MR. BROADDUS,19980331,0.5
MS. RIVLIN,19980331,0.5
MR. BOEHNE,19980331,0.5
MR. GUYNN,19980331,0.5
MR. HOENIG,19980331,0.5
MR. MCTEER,19980331,-0.5
MR. STERN,19980331,0
MR. MEYER,19980331,0.5
MR. GRAMLICH,19980331,0.5
MR. FERGUSON,19980331,0.5
MR. KELLEY,19980331,0.5
MS. PHILLIPS,19980331,0.5
SPEAKER(?),19980331,0
MR. BERNARD,19980331,0
CHAIRMAN GREENSPAN,19980519,0.5
VICE CHAIRMAN MCDONOUGH,19980519,-0.5
MS. PHILLIPS,19980519,0
MR. FISHER,19980519,0
MR. BOEHNE,19980519,0.5
MR. HOENIG,19980519,0.5
MR. TRUMAN,19980519,0
MS. MINEHAN,19980519,0.5
MR. PRELL,19980519,0
MR. PARRY,19980519,0.5
MR.PARRY,19980519,0
MR. MOSKOW,19980519,0.5
MR. STOCKTON,19980519,0
MR. GRAMLICH,19980519,-0.5
MR. POOLE,19980519,0.5
MR. JORDAN,19980519,0.5
MR. MCTEER,19980519,-0.5
MR. BROADDUS,19980519,0.5
MR. GUYNN,19980519,0.5
MR. STERN,19980519,0.5
MR. FERGUSON,19980519,0.5
MS. RIVLIN,19980519,-0.5
MR. KELLEY,19980519,0
MR. MEYER,19980519,0.5
MR. KOHN,19980519,0.5
MR. GILLUM,19980519,0
CHAIRMAN GREENSPAN,19980701,0
MR. MCTEER,19980701,-0.5
MR. FISHER,19980701,0
MR. BROADDUS,19980701,0.5
MR. BOEHNE,19980701,0
MR. TRUMAN,19980701,0
VICE CHAIRMAN MCDONOUGH,19980701,0.5
MR. MOSKOW,19980701,0.5
MS. MINEHAN,19980701,0.5
SEVERAL,19980701,0
MR. KELLEY,19980701,0.5
MR. PRELL,19980701,0
MR. HOOPER,19980701,0
MR. STOCKTON,19980701,0
CPI? MR. STOCKTON,19980701,0
MR. POOLE,19980701,0.5
MR. MEYER,19980701,0.5
MR. JORDAN,19980701,0.5
MS. RIVLIN,19980701,0.5
MR. GRAMLICH,19980701,-0.5
MR. HOENIG,19980701,0.5
MR. PARRY,19980701,0.5
MR. KOHN,19980701,0
MR. GUYNN,19980701,0.5
BMW. SPEAKER(?),19980701,0
MR. STERN,19980701,0
MR. FERGUSON,19980701,0.5
SPEAKER(?),19980701,0
MR. BERNARD,19980701,0
MR. WHITESELL,19980701,0
III. CHAIRMAN GREENSPAN,19980701,0
I. CHAIRMAN GREENSPAN,19980701,0
MR. LINDSEY,19980701,0
CHAIRMAN GREENSPAN,19980818,0
MR. HOENIG,19980818,0
MS. MINEHAN,19980818,0.5
VICE CHAIRMAN MCDONOUGH,19980818,0
MR. FISHER,19980818,0
MS. RIVLIN,19980818,-0.5
MR. TRUMAN,19980818,0
MR. JORDAN,19980818,0.5
MR. PRELL,19980818,0
MR. KELLEY,19980818,-0.5
MR. PARRY,19980818,0
MR. STOCKTON,19980818,0
MR. MCTEER,19980818,-0.5
MR. MOSKOW,19980818,-0.5
MR. STERN,19980818,0
MR. GUYNN,19980818,0.5
MR. BOEHNE,19980818,-0.5
MR. POOLE,19980818,0.5
MR. GRAMLICH,19980818,-0.5
MR. VARVEL,19980818,0.5
MR. FERGUSON,19980818,0
MR. MEYER,19980818,0
MR. KOHN,19980818,0
MR. BERNARD,19980818,0
CHAIRMAN GREENSPAN,19980929,0
VICE CHAIRMAN MCDONOUGH,19980929,-0.5
MR. HOENIG,19980929,-0.5
MR. GUYNN,19980929,-0.5
MS. MINEHAN,19980929,-0.5
MR. PARRY,19980929,-0.5
MR. MCTEER,19980929,-0.5
MS. RIVLIN,19980929,-0.5
MR. MEYER,19980929,-0.5
MR. BROADDUS,19980929,0.5
MR. BOEHNE,19980929,-0.5
MR. STERN,19980929,-0.5
MR. FERGUSON,19980929,-0.5
MR. POOLE,19980929,-0.5
MR. GRAMLICH,19980929,-0.5
MR. MOSKOW,19980929,-0.5
MR. JORDAN,19980929,-0.5
MR. KELLEY,19980929,-0.5
SEVERAL,19980929,0
MR. FISHER,19980929,0
MR. TRUMAN,19980929,0
MR. KOHN,19980929,-0.5
MR. STOCKTON,19980929,0
MR. BERNARD,19980929,0
(LTCP),19980929,0
LTCP? VICE CHAIRMAN MCDONOUGH,19980929,0
MR. SPILLENKOTHEN,19980929,0
MR. FISHER. U.S,19980929,0
LTCM. VICE CHAIRMAN MCDONOUGH,19980929,0
MR. MATTINGLY,19980929,0
P. MR. FISHER,19980929,0
P. VICE CHAIRMAN MCDONOUGH,19980929,0
MR. PARKINSON,19980929,0
SPEAKER(?),19980929,0
CHAIRMAN GREENSPAN,19981117,-0.5
MS. RIVLIN,19981117,-0.5
VICE CHAIRMAN MCDONOUGH,19981117,-0.5
MR. LINDSEY,19981117,-0.5
MS. MINEHAN,19981117,-0.5
MR. JORDAN,19981117,0.5
MR. BROADDUS,19981117,-0.5
MR. BOEHNE,19981117,-0.5
MR. PARRY,19981117,0
MR. STERN,19981117,0
MR. MEYER,19981117,-0.5
MR. FERGUSON,19981117,-0.5
MR. POOLE,19981117,0.5
SEVERAL,19981117,0
MR. MOSKOW,19981117,-0.5
MR. KELLEY,19981117,-0.5
MR. GUYNN,19981117,-0.5
MR. HOENIG,19981117,-0.5
MR. GRAMLICH,19981117,-0.5
MR. FISHER,19981117,0
MR. MCTEER,19981117,-0.5
MS. JOHNSON,19981117,0
SPEAKER(?),19981117,0
MR. PRELL,19981117,0
B. CHAIRMAN GREENSPAN,19981117,0
MR. BERNARD,19981117,0
CHAIRMAN GREENSPAN,19981222,0
MR. BERNARD,19981222,0
VICE CHAIRMAN MCDONOUGH,19981222,-0.5
MR. FISHER,19981222,0
MR. POOLE,19981222,0.5
MS. JOHNSON,19981222,0
MR. PRELL,19981222,0
MR. PARRY,19981222,0
MS. MINEHAN,19981222,0
MR. BROADDUS,19981222,0.5
MR. MOSKOW,19981222,-0.5
MR. BOEHNE,19981222,0
MR. GUYNN,19981222,0
MR. STERN,19981222,0.5
MR. MCTEER,19981222,0
MR. JORDAN,19981222,0.5
MR. HOENIG,19981222,0.5
MR. KELLEY,19981222,0
MR. GRAMLICH,19981222,0
MR. FERGUSON,19981222,0
MS. RIVLIN,19981222,0
MR. MEYER,19981222,0
MR. KOHN,19981222,0
SPEAKER(?),19981222,0
CHAIRMAN GREENSPAN,19990203,0
MS. RIVLIN,19990203,-0.5
MR. KELLEY,19990203,0.5
SEVERAL,19990203,0
MR. BOEHNE,19990203,0
FOMC. SPEAKER(?),19990203,0
VICE CHAIRMAN MCDONUGH,19990203,0
MR. BERNARD,19990203,0
VICE CHAIRMAN MCDONOUGH,19990203,-0.5
MR. FISHER,19990203,0
MR. BROADDUS,19990203,0.5
MR. KOHN,19990203,0
MR. POOLE,19990203,0.5
MR. HOENIG,19990203,0.5
MR. PARRY,19990203,0
MS. MINEHAN,19990203,0.5
MR. JORDAN,19990203,0.5
BIS? MR. FISHER,19990203,0
MR. PRELL,19990203,0
MR. ALEXANDER,19990203,0
MR. STOCKTON,19990203,0
MR. MEYER,19990203,0.5
CPI? MR. STOCKTON,19990203,0
MR. STERN,19990203,0
MR. GRAMLICH,19990203,0
CPI. CHAIRMAN GREENSPAN,19990203,0
MR. MCTEER,19990203,0
MR. MOSKOW,19990203,0.5
MR. GUYNN,19990203,0.5
SPEAKER(?),19990203,0
MR. FERGUSON,19990203,0.5
MR. SIMPSON,19990203,0
MR. WINN,19990203,0
MR. MADIGAN,19990203,0
MR. MATTINGLY,19990203,0
NAIRU,19990203,0
NAIRU. MR. PRELL,19990203,-0.5
CHAIRMAN GREENSPAN,19990330,0
VICE CHAIRMAN MCDONOUGH,19990330,-0.5
MR. FISHER,19990330,0
MR. POOLE,19990330,0.5
MR. KOHN,19990330,0.5
MR. PRELL,19990330,0.5
MS. JOHNSON,19990330,0
MR. BROADDUS,19990330,0.5
MR. PARRY,19990330,0
MR. JORDAN,19990330,0.5
MS. MINEHAN,19990330,0.5
MR. MCTEER,19990330,0
MR. HOENIG,19990330,0.5
MR. MOSKOW,19990330,0.5
MR. GUYNN,19990330,0.5
MR. BOEHNE,19990330,0
MR. STERN,19990330,0
MR. FERGUSON,19990330,0
MR. MEYER,19990330,0.5
MR. KELLEY,19990330,0.5
MS. RIVLIN,19990330,0
MR. GRAMLICH,19990330,0
MR. BERNARD,19990330,0
CHAIRMAN GREENSPAN,19990518,0.5
VICE CHAIRMAN MCDONOUGH,19990518,0.5
MR. FISHER,19990518,0
MR. KOHN,19990518,0.5
MR. MOSKOW,19990518,0.5
MR. PARRY,19990518,0.5
MS. MINEHAN,19990518,0.5
MR. POOLE,19990518,0.5
SEVERAL,19990518,0
MR. PRELL,19990518,0.5
MR. BROADDUS,19990518,0.5
MR. JORDAN,19990518,0.5
MR. HOENIG,19990518,0.5
MR. MCTEER,19990518,0.5
MR. STERN,19990518,0
MR. GUYNN,19990518,0.5
MR. BOEHNE,19990518,0.5
MR. KELLEY,19990518,0.5
MR. GRAMLICH,19990518,0.5
MR. FERGUSON,19990518,0.5
MR. MEYER,19990518,0.5
MS. RIVLIN,19990518,0.5
C. CHAIRMAN GREENSPAN,19990518,0
MR. BERNARD,19990518,0.5
SPEAKER (?),19990518,0
CHAIRMAN GREENSPAN,19990630,0.5
VICE CHAIRMAN MCDONOUGH,19990630,0.5
MR. FISHER,19990630,0
MR. BROADDUS,19990630,0.5
MR. PARRY,19990630,0.5
MS. JOHNSON,19990630,0
MR. MCTEER,19990630,-0.5
MR.MCTEER,19990630,0
MR. JORDAN,19990630,0.5
MR. PRELL,19990630,0
MS. MINEHAN,19990630,0.5
K. MR. PRELL,19990630,0
MR. POOLE,19990630,0.5
MR. KELLEY,19990630,0.5
MR. HOENIG,19990630,0.5
MR. GRAMLICH,19990630,0.5
MR. STERN,19990630,0.5
MR. JOHNSON,19990630,-0.5
MR. MOSKOW,19990630,0.5
MR. GUYNN,19990630,0.5
MR. BOEHNE,19990630,0.5
MR. FERGUSON,19990630,0.5
MR. MEYER,19990630,0.5
MR. MADIGAN,19990630,0
MR. BERNARD,19990630,0.5
MR. KOHN,19990630,0.5
SPEAKER(?),19990630,0
SEVERAL,19990630,0
CHAIRMAN GREENSPAN,19990824,0.5
VICE CHAIRMAN MCDONOUGH,19990824,0.5
SEVERAL,19990824,0
MS. JOHNSON,19990824,0
MR. KELLEY,19990824,0.5
MR. FISHER,19990824,0
MS. MINEHAN,19990824,0.5
MR. HOENIG,19990824,0.5
MR. BROADDUS,19990824,0.5
MR. KOHN,19990824,0.5
MR. PARRY,19990824,0.5
CHARMAN GREENSPAN,19990824,0
MR. BERNARD,19990824,0.5
MR. JORDAN,19990824,0.5
MR. MOSKOW,19990824,0.5
MR. GRAMLICH,19990824,0.5
MR. STERN,19990824,0.5
MR STERN,19990824,0
MR. KELLY,19990824,0
MR. BOEHNE,19990824,0.5
MR. PRELL,19990824,0.5
MR. POOLE,19990824,0.5
MR. GUYNN,19990824,0.5
MR. MCTEER,19990824,-0.5
MR. MEYER,19990824,0.5
MR. FERGUSON,19990824,0.5
CHAIRMAN GREENSPAN,19991005,0.5
VICE CHAIRMAN MCDONOUGH,19991005,0
MR. FISHER,19991005,0
MR. BROADDUS,19991005,0.5
MS. MINEHAN,19991005,0.5
MR. HOENIG,19991005,0.5
MR. KOHN,19991005,0.5
MR. PRELL,19991005,0.5
MS. JOHNSON,19991005,-0.5
MR. MCTEER,19991005,-0.5
MR. PARRY,19991005,0.5
MR. POOLE,19991005,0.5
MR. STERN,19991005,-0.5
MR. GUYNN,19991005,0.5
MR. BOEHNE,19991005,0.5
MR. MOSKOW,19991005,0.5
MR. JORDAN,19991005,0.5
MR. FERGUSON,19991005,0.5
MR. GRAMLICH,19991005,0.5
MR. KELLEY,19991005,0.5
MR. MEYER,19991005,0.5
MR. MCDONOUGH,19991005,0
I. CHAIRMAN GREENSPAN,19991005,0
MR. GILLUM,19991005,0.5
SEVERAL,19991005,0
I. SPEAKER(?),19991005,0
SPEAKER(?),19991005,0
SEVERAL(?),19991005,0
CHAIRMAN GREENSPAN,19991116,0.5
VICE CHAIRMAN MCDONOUGH,19991116,0.5
MR. FISHER,19991116,0
MR. POOLE,19991116,0.5
MR. KOHN,19991116,0.5
MR. PRELL,19991116,0.5
MS. JOHNSON,19991116,0
MR. JORDAN,19991116,0.5
MR. STOCKTON,19991116,0
MR. PARRY,19991116,0.5
MS. MINEHAN,19991116,0.5
MR. MCTEER,19991116,0.5
MR. MOSKOW,19991116,0.5
MR. BROADDUS,19991116,0.5
MR. HOENIG,19991116,0.5
MR. GUYNN,19991116,0.5
MR. STERN,19991116,0.5
MR. GRAMLICH,19991116,0.5
MR. FERGUSON,19991116,0.5
MR. MEYER,19991116,0.5
MR. KELLEY,19991116,0.5
MR. BOEHNE,19991116,0
MR. BERNARD,19991116,0.5
SEVERAL,19991116,0
SPEAKER(?),19991116,0
I. MR. FERGUSON,19991116,-0.5
MR. MATTINGLY,19991116,0
II? VICE CHAIRMAN MCDONOUGH,19991116,0
CHAIRMAN GREENSPAN,19991221,0.5
VICE CHAIRMAN MCDONOUGH,19991221,0.5
MR. FISHER,19991221,0
MS. MINEHAN,19991221,0.5
MR. FERGUSON,19991221,0.5
MR. PRELL,19991221,0.5
MS. JOHNSON,19991221,0
MR. MOSKOW,19991221,0.5
MR. PARRY,19991221,0.5
MR. STOCKTON,19991221,0
MR. BROADDUS,19991221,0.5
MR. POOLE,19991221,0
MR. HOENIG,19991221,0.5
MR. JORDAN,19991221,0
MR. GUYNN,19991221,0.5
MR. BOEHNE,19991221,0.5
MR. MCTEER,19991221,0.5
MR. STERN,19991221,0
MR. GRAMLICH,19991221,0.5
SPEAKER(?),19991221,0
MR. KELLEY,19991221,0.5
MR. MEYER,19991221,0.5
MR. BERNARD,19991221,0
MR. KOHN,19991221,0.5
SEVERAL,19991221,0
MS. FOX,19991221,0
CHAIRMAN GREENSPAN,20000202,0.5
MS. MINEHAN,20000202,0.5
MR. FERGUSON,20000202,0.5
MR. KELLEY,20000202,0.5
SPEAKER(?),20000202,0
VICE CHAIRMAN MCDONOUGH,20000202,0.5
MR. BERNARD,20000202,0.5
MR. FISHER,20000202,0
MR. KOHN,20000202,0.5
MR. BROADDUS,20000202,0.5
MR. BOEHNE,20000202,0.5
MR. PRELL,20000202,0.5
MS. JOHNSON,20000202,0
MR. STOCKTON,20000202,0
MR. MEYER,20000202,0.5
MR. JORDAN,20000202,0.5
MS. JOHNSON,20000202,0
MR. PARRY,20000202,0.5
,20000202,0
MR. STERN,20000202,0.5
MR. POOLE,20000202,0.5
MR. HOENIG,20000202,0.5
MR. MCTEER,20000202,0.5
MR. MOSKOW,20000202,0.5
MR. GUYNN,20000202,0.5
MR. GRAMLICH,20000202,0.5
MR. WHITESELL,20000202,0
I. CHAIRMAN GREENSPAN,20000202,0
SEVERAL,20000202,0
CHAIRMAN GREENSPAN,20000321,0.5
MR. BOEHNE,20000321,0.5
MR. MCTEER,20000321,0.5
SPEAKER (?),20000321,0
MR. FISHER,20000321,0
VICE CHAIRMAN MCDONOUGH,20000321,0.5
(SOMA),20000321,0
MR. KOHN,20000321,0.5
MR. HOENIG,20000321,0.5
MR. JORDAN,20000321,0.5
MR. BROADDUS,20000321,0.5
MR. POOLE,20000321,0.5
MR. GRAMLICH,20000321,0.5
MS. MINEHAN,20000321,0.5
MR. PARRY,20000321,0.5
MR. FERGUSON,20000321,0.5
SPEAKER(?),20000321,0
SEVERAL,20000321,0
MR. PRELL,20000321,0.5
MS. JOHNSON,20000321,0
MR. MOSKOW,20000321,0.5
MR. GUYNN,20000321,0.5
MR. STERN,20000321,0.5
MR. MEYER,20000321,0.5
MR. KELLEY,20000321,0.5
MR. BERNARD,20000321,0.5
MS. FOX,20000321,0
CHAIRMAN GREENSPAN,20000516,0.5
MR. PRELL,20000516,0.5
VICE CHAIRMAN MCDONOUGH,20000516,0.5
MR. FISHER,20000516,0
MR. MCTEER,20000516,0.5
MS. MINEHAN,20000516,0.5
BBB? MR. FISHER,20000516,0
MR. BROADDUS,20000516,0.5
MR. JORDAN,20000516,0.5
MR. GRAMLICH,20000516,0.5
MR. REINHART,20000516,0
MR. HOENIG,20000516,0.5
MR. STERN,20000516,0.5
PCE. MR. STERN,20000516,0
MR. POOLE,20000516,0.5
GDP. CHAIRMAN GREENSPAN,20000516,0
MR. PARRY,20000516,0.5
MR. MOSKOW,20000516,0.5
MR. STOCKTON,20000516,0
MR. GUYNN,20000516,0.5
MR. STONE,20000516,0.5
NASDAQ,20000516,0
MR. FERGUSON,20000516,0.5
MR. MEYER,20000516,0.5
MR. KELLEY,20000516,0.5
MR. LINDSEY,20000516,0.5
MR. BERNARD,20000516,0.5
SEVERAL,20000516,0
CHAIRMAN GREENSPAN,20000628,0
SPEAKER(?),20000628,0
VICE CHAIRMAN MCDONOUGH,20000628,0
MR. FISHER,20000628,0
CHAIRMAN GREENSPAN,20000628,0
MR. MCTEER,20000628,-0.5
MR. STOCKTON,20000628,0.5
MS. JOHNSON,20000628,0
MR. SLIFMAN,20000628,0.5
GOVERNOR MEYER,20000628,0
MR. POOLE,20000628,0.5
MR. MEYER,20000628,0.5
MR. KOHN,20000628,-0.5
MR. REIFSCHNEIDER,20000628,0
MR. JORDAN,20000628,-0.5
MR. PARRY,20000628,0.5
MR. GRAMLICH,20000628,0.5
MR. BROADDUS,20000628,0.5
MR. MOSKOW,20000628,-0.5
MS. MINEHAN,20000628,0.5
MR. GUYNN,20000628,0.5
MR. STONE,20000628,0.5
MR. STERN,20000628,0
MR. HOENIG,20000628,-0.5
MR. KELLEY,20000628,0
MR. FERGUSON,20000628,-0.5
MR. KOHN,20000628,0.5
MR. BERNARD,20000628,0.5
SEVERAL,20000628,0
CHAIRMAN GREENSPAN,20000822,0
MR. FISHER,20000822,0
VICE CHAIRMAN MCDONOUGH,20000822,0.5
,20000822,0
MR. FERGUSON,20000822,0.5
MR. POOLE,20000822,0
MR. BROADDUS,20000822,-0.5
MR. JORDAN,20000822,0.5
MR. PARRY,20000822,0.5
SPEAKER(?),20000822,0
SEVERAL(?),20000822,0
MR. STOCKTON,20000822,0.5
MS. JOHNSON,20000822,0
PRESIDENT MOSKOW,20000822,-0.5
MR. GUYNN,20000822,0.5
MR. HOENIG,20000822,0
MS. MINEHAN,20000822,0.5
MR. STERN,20000822,-0.5
MR. MCTEER,20000822,-0.5
MR. SANTOMERO,20000822,-0.5
MR. GRAMLICH,20000822,-0.5
MR. MEYER,20000822,0.5
MR. KELLEY,20000822,0
MR. KOHN,20000822,0
MR. MOSKOW,20000822,0.5
MR. BERNARD,20000822,0.5
SEVERAL,20000822,0
CHAIRMAN GREENSPAN,20001003,0
MR. FISHER,20001003,0
MR. KOS,20001003,0
VICE CHAIRMAN MCDONOUGH,20001003,0
MR. PARRY,20001003,0.5
MR. POOLE,20001003,0.5
,20001003,0
MR. MCTEER,20001003,-0.5
CHAIRMAN GREENSPAN. MR. FISHER,20001003,0
MR. BROADDUS,20001003,0.5
MR. FERGUSON,20001003,-0.5
MR. STOCKTON,20001003,-0.5
MS. JOHNSON,20001003,0
FDI. CHAIRMAN GREENSPAN,20001003,0
CHAIRMAN GRENSPAN,20001003,0
MR. GRAMLICH,20001003,0.5
MR. HOENIG,20001003,-0.5
MS. MINEHAN,20001003,0.5
MR. GUYNN,20001003,0
MR. SANTOMERO,20001003,0
MR. MOSKOW,20001003,0.5
MR. JORDAN,20001003,-0.5
MR. STERN,20001003,-0.5
MR. MEYER,20001003,0.5
MR. KELLEY,20001003,0
MR. KOHN,20001003,0
MR. GILLUM,20001003,0.5
SEVERAL,20001003,0
MR. SIMPSON,20001003,0
SPEAKER(?),20001003,0
CHAIRMAN GREENSPAN,20001115,0
VICE CHAIRMAN MCDONOUGH,20001115,-0.5
MR. FISHER,20001115,0
MR. BROADDUS,20001115,0.5
MR. KOHN,20001115,0
MR. POOLE,20001115,-0.5
SPEAKER(?),20001115,0
MR. STOCKTON,20001115,0
MR. REINHART,20001115,0
MR. PARRY,20001115,0.5
MR. MOSKOW,20001115,0.5
MR. GRAMLICH,20001115,-0.5
MR. MEYER,20001115,0.5
MS. MINEHAN,20001115,0.5
MR. OLINER,20001115,0
MR. HOENIG,20001115,-0.5
MR. GUYNN,20001115,0.5
MR. STERN,20001115,0
MR. MCTEER,20001115,-0.5
MR. SANTOMERO,20001115,0.5
MS. PIANALTO,20001115,0.5
MR. FERGUSON,20001115,-0.5
MR. KELLEY,20001115,0
MR. MCDONOUGH,20001115,0
MR. BERNARD,20001115,0.5
CHAIRMAN GREENSPAN,20001219,0
VICE CHAIRMAN MCDONOUGH,20001219,-0.5
SPEAKER(?),20001219,0
MR. FISHER,20001219,0
P? MR. FISHER,20001219,0
MR. KOS,20001219,0
NASDAQ,20001219,0
MR. GRAMLICH,20001219,-0.5
MR. JORDAN,20001219,-0.5
MR. STOCKTON,20001219,-0.5
MS. JOHNSON,20001219,-0.5
MR. BROADDUS,20001219,0.5
MR. KOHN,20001219,-0.5
MR. MEYER,20001219,-0.5
MR. POOLE,20001219,-0.5
MR. KELLEY,20001219,-0.5
MR. PARRY,20001219,-0.5
MR. MCTEER,20001219,-0.5
MS. MINEHAN,20001219,0
MR. GUYNN,20001219,-0.5
MR. HOENIG,20001219,-0.5
MR. MOSKOW,20001219,-0.5
MR. STERN,20001219,-0.5
MR. SANTOMERO,20001219,-0.5
MR. FERGUSON,20001219,-0.5
MR. BERNARD,20001219,0
I. MR. PARRY,20001219,0
CHAIRMAN GREENSPAN,20010131,0
MS. MINEHAN,20010131,-0.5
VICE CHAIRMAN MCDONOUGH,20010131,-0.5
MR. BERNARD,20010131,-0.5
) CHAIRMAN GREENSPAN,20010131,0
SEVERAL,20010131,0
MR. FERGUSON,20010131,-0.5
MR. KELLEY,20010131,-0.5
MR. KOHN,20010131,0
MR. BROADDUS,20010131,-0.5
MR. GOODFRIEND,20010131,0
MR. MEYER,20010131,-0.5
MR. HOENIG,20010131,-0.5
MR. POOLE,20010131,-0.5
MR. SANTOMERO,20010131,-0.5
MR. JORDAN,20010131,-0.5
MR. STERN,20010131,-0.5
MR. GRAMLICH,20010131,-0.5
MR. GUYNN,20010131,-0.5
MR. MOSKOW,20010131,-0.5
MR. PARRY,20010131,-0.5
CHAIRMAN GREENPAN,20010131,0
MR.GRAMLICH,20010131,0
MR. FISHER,20010131,0
